source,target
TelkomIndonesia,meisanti_mei
TelkomIndonesia,Nona_Kecil99
TelkomIndonesia,Rahmi48528486
TelkomIndonesia,dahlan_sofian
PodcastQme,BigIdeaMX
InfoGeospasial,gekaz_
motizenchannel,Moch_S
patheyically,terkejoed_
IndosatOoredoo,RatnoFiuzza
id_indicator,Sat86995669
tingkerbell99,RadioIdolaSMG
patheyically,cutepiepyo
patheyically,noturfuturebby
finplus_id,ML_Tweet_Bot
hilmanski,ML_Tweet_Bot
hilmanski,sundalaif
patheyically,icaajkt48
patheyically,kookiemons_____
Bankdata4,Bankdata4
Bankdata4,Bankdata4
Bankdata4,Bankdata4
BPPT_RI,BpptPpid
kusyuk,tzarifzumaidi
rennypradina,A_yarzuki7
Greathinker12,africanexpres
Nagey8,nene_kondo
hilmanski,mbangbingbung
babacar_ibn,DiopAlvin
hilmanski,nabisesat
hilmanski,azizsull
rennypradina,andriashfahani
hilmanski,xxigege_
rennypradina,papipicapica
TelkomIndonesia,mpo_ani
CNNIndonesia,FerziSamal
rennypradina,ksantra13
babacar_ibn,nateukaan
babacar_ibn,unrenoissauvage
haniXVI,dyahwie
rennypradina,ir_hafidz
Greathinker12,MairaMoses
HukumDan,er_rudy
kusyuk,sakuiizus
babacar_ibn,Boy_njaaay
babacar_ibn,Piff_Online
Bankdata4,chidambara09
miota_teknologi,chidambara09
TT_BigData,chidambara09
Learn_BigData,chidambara09
miota_teknologi,chidambara09
Bankdata4,chidambara09
Bankdata4,chidambara09
Bankdata4,chidambara09
Bankdata4,chidambara09
bigboxindonesia,chidambara09
RakyatMerdeka99,chidambara09
Bankdata4,chidambara09
Bankdata4,chidambara09
Bankdata4,chidambara09
rennypradina,violachie
babacar_ibn,ManeThierno
TelkomIndonesia,Putri77693798
TelkomIndonesia,vera_MB4R
rennypradina,radityopw
innnayah,monilando
TelkomIndonesia,eliz_handayani
ofathurahman,waluyo76
HukumDan,HaerumanUman
TelkomIndonesia,LeonardoSarag10
TelkomIndonesia,CeuAryani
HukumDan,saidbinsofyan
ismailfahmi,afannni
TelkomIndonesia,PutiSalvia
kusyuk,nknrfjhanaa
TelkomIndonesia,yosephsetyo
TelkomIndonesia,Hamsani_1
TelkomIndonesia,AprilLavigne15
agralrst,notsoharleen
agralrst,_attk
kusyuk,aidaemin
HukumDan,eva_yanuarita
motizenchannel,eva_yanuarita
TelkomIndonesia,DanitaFidelya
TelkomIndonesia,Jafirman_
HukumDan,theditor3
BPPT_RI,bioindustriBPPT
motizenchannel,zamrud02
HukumDan,zamrud02
TelkomIndonesia,elda_yani
HukumDan,tedy_harry
TelkomIndonesia,fahrozi_dodi
motizenchannel,Muhamad90104453
PodcastQme,PodcastQme
TelkomIndonesia,NovitaPuspita19
HukumDan,ronni_rahmad
TelkomIndonesia,_Cendol_Hokii
HukumDan,IanurrakhmanIrk
TelkomIndonesia,Juliandisitinj1
TelkomIndonesia,Safii_Jokam
HukumDan,Gandi06430393
HukumDan,Imas23209529
HukumDan,massmujab
HukumDan,Faul691
TelkomIndonesia,Tri_Desi_S
HukumDan,abi_athallah
HukumDan,efebz_1897
TelkomIndonesia,ichbinY98
TelkomIndonesia,iamdy_
HukumDan,sutara86031515
HukumDan,s2c3r
TelkomIndonesia,IMsy_Ich
HukumDan,ipank2345
motizenchannel,asepkosasih78
HukumDan,asepkosasih78
HukumDan,DejeMust
motizenchannel,MF_HBS
HukumDan,MF_HBS
HukumDan,jib_zam
HukumDan,KhairatulInsani
HukumDan,RUSYDAN62544336
TelkomIndonesia,fslnrrhmn
HukumDan,nuridahayat1221
motizenchannel,nuridahayat1221
HukumDan,wijayaaswan
HukumDan,Yahya61367175
HukumDan,Samdoel9
TelkomIndonesia,pujisisoneto
HukumDan,Aping99760163
HukumDan,Ninonin90074452
HukumDan,OvikR3
HukumDan,iepouel
HukumDan,bagusdimensi
HukumDan,am_chandra28
HukumDan,alooyy
HukumDan,muhamaddaudabd3
HukumDan,erha_Kuswandi
HukumDan,joulepakir
HukumDan,joejuve1987
HukumDan,SemboyanRapuh
HukumDan,BangGodham
PadjadjaranFC,Zanti_M
TelkomIndonesia,prstyh
HukumDan,inu_ratih1
motizenchannel,masovics
HukumDan,masovics
TelkomIndonesia,Mel_bless77
TelkomIndonesia,real_mamat2020
HukumDan,MizyUji
TelkomIndonesia,ErnaAthar
TelkomIndonesia,Hendra_G_Athar
HukumDan,lanunatuna
HukumDan,KabulSantoso7
motizenchannel,KabulSantoso7
HukumDan,senoantoro
TelkomIndonesia,cherellianice
HukumDan,yudhawirapp
motizenchannel,yudhawirapp
TelkomIndonesia,Adirofolalii
TelkomIndonesia,ren_wiro
HukumDan,Suryadi68385209
HukumDan,Indahpandaan
TelkomIndonesia,NindyR5
TelkomIndonesia,Noy_Rayden
HukumDan,uthe12340
HukumDan,cokhibuan
HukumDan,awhsar
TelkomIndonesia,Pelangii_Senja
HukumDan,deliari25
TelkomIndonesia,GilPra21
HukumDan,AbdulMT6
motizenchannel,JannahGate
HukumDan,JannahGate
HukumDan,Karwito9
HukumDan,roel354
HukumDan,ErfanMaada
TelkomIndonesia,ayoesfa
HukumDan,Mamahidah3
TelkomIndonesia,MamaKei8
HukumDan,DeinSugandi
HukumDan,Syahrizwan2
HukumDan,Kursani03
HukumDan,AkalSuper
TelkomIndonesia,DoniCules01
HukumDan,tusinojapan
motizenchannel,tusinojapan
TelkomIndonesia,AtharErna
HukumDan,simumun008
HukumDan,robiharyadi86
HukumDan,gelatik31
TelkomIndonesia,ananglhyant
TelkomIndonesia,AdulHmd
TelkomIndonesia,s_andi88
HukumDan,UlumuddinAceng
TelkomIndonesia,Rajanandito1
TelkomIndonesia,Hanifa27Love
HukumDan,OethoenSlow
BRPBAP3_Maros,herarusida
HukumDan,yudi_suhendra
HukumDan,efie_vie
HukumDan,RFauzy5
motizenchannel,deaboy1
HukumDan,deaboy1
TelkomIndonesia,aandaliman_
TelkomIndonesia,nanasubana9
HukumDan,erwannusantara
HukumDan,Yudha71780826
HukumDan,Sugali09708982
TelkomIndonesia,m_agustinasriw
HukumDan,Buluxz4
TelkomIndonesia,OlipeOyeerr
HukumDan,hhaaarii
TelkomIndonesia,yadhoot
TelkomIndonesia,NhaomyChaezya
TelkomIndonesia,BukanKur
HukumDan,Sagemuly
HukumDan,ragilsaputra645
motizenchannel,ragilsaputra645
TelkomIndonesia,denistwitr
HukumDan,HendraZandi
HukumDan,jarambah_
TelkomIndonesia,Joana0771
TelkomIndonesia,Nathania_yola
HukumDan,fasyam7
BPPT_RI,poetro_prakoso
TelkomIndonesia,Manissha_
TelkomIndonesia,NaylaGhifarini
TelkomIndonesia,zee_flo_
HukumDan,Surant6
TelkomIndonesia,rindu_kuu
TelkomIndonesia,NairaShiva
TelkomIndonesia,Srengenge_Sore
HukumDan,Sikumba60880393
TelkomIndonesia,MamatOfficialID
TelkomIndonesia,Rantisulasmy
HukumDan,Jenderalapangan
HukumDan,JunPermana
TelkomIndonesia,natalia453640
HukumDan,blueshoecant2
TelkomIndonesia,ira_permatahati
TelkomIndonesia,Vatma55888196
HukumDan,worobotto
TelkomIndonesia,Angga_51
TelkomIndonesia,CitraLtd
TelkomIndonesia,Marjun29_
TelkomIndonesia,Herpalampitan
HukumDan,AdrianPolitani
TelkomIndonesia,khudeti
HukumDan,Bobby4574676035
TelkomIndonesia,ririnhyu_
TelkomIndonesia,DiynaF
TelkomIndonesia,AndriiiYuati
TelkomIndonesia,Putriramadhita
HukumDan,akhmadj76
HukumDan,Angelwijaya0
HukumDan,idayu_wien
HukumDan,MGusas
HukumDan,Rudy01272266
HukumDan,AnugrahBerla
HukumDan,bibin_bey
HukumDan,fIcal85360324
HukumDan,GarisSejajar
HukumDan,BowoEndarto
motizenchannel,BowoEndarto
HukumDan,Abd7lK
HukumDan,OpiniRakyat2
HukumDan,va_sso
HukumDan,ambo_miocarbon
HukumDan,Sjaechu
HukumDan,royal_dudeness
HukumDan,Hira68337052
HukumDan,RakyatB72107070
HukumDan,Satir76
motizenchannel,Swarnad71915084
HukumDan,Swarnad71915084
motizenchannel,sastromenggolo
HukumDan,sastromenggolo
HukumDan,cahya_orlando
INDONESlAINLOVE,INDONESlAINLOVE
HukumDan,mas_dikin786
HukumDan,zhevridwan
HukumDan,SetiaBatubara
motizenchannel,chandranaya9
HukumDan,chandranaya9
HukumDan,teguhbiyanto
HukumDan,AryTGunadi
HukumDan,Ibnusholh1
HukumDan,SamuderaTubagus
HukumDan,Lizalarilari
HukumDan,yanisuparno
BRPBAP3_Maros,ImamTaukhid
BRPBAP3_Maros,ImamTaukhid
BRPBAP3_Maros,ImamTaukhid
HukumDan,Assamina3
HukumDan,mat_rifqi
HukumDan,or_replay
motizenchannel,Msdinar
HukumDan,Msdinar
HukumDan,HanisLutfianing
HukumDan,blue_facez
HukumDan,bangkitlag
HukumDan,kkvrindhavan
motizenchannel,kkvrindhavan
HukumDan,Primaliston2
HukumDan,NandaDaulay7
HukumDan,MglSutrisno
HukumDan,Malao_Ngeluh
vic_haref,IamYogas
HukumDan,DameriatiZ
HukumDan,tja_ams2
HukumDan,arifin_alif
HukumDan,jasbird1
HukumDan,Az_7878
BRPBAP3_Maros,sjariefwidjaja
BRPBAP3_Maros,sjariefwidjaja
HukumDan,HIVSurvival_
HukumDan,Cr07fans1
HukumDan,KosmetikDinda
HukumDan,barsono
HukumDan,Satugunung
motizenchannel,ilhamprmn
HukumDan,ilhamprmn
HukumDan,ImamBukhori7701
HukumDan,AcengRahmatHid5
HukumDan,Raxsha3
HukumDan,suwerboss
HukumDan,AyaAyeesha
HukumDan,osselow
HukumDan,ranggalawe727
HukumDan,asysyamil
HukumDan,RudiKisara4
HSurawinata,ddarpen
HukumDan,qhusaeni72
HukumDan,ElMubar26384689
HukumDan,PSoepena
HukumDan,dayat4x4
HukumDan,NandiXplorer
HukumDan,Anggara45285173
HukumDan,FPI87932287
HukumDan,aldipu
HukumDan,widjajana
motizenchannel,widjajana
HukumDan,Sunarti25231614
HukumDan,MamunMu98291791
motizenchannel,MamunMu98291791
HukumDan,faiz23032016
HukumDan,caxra99
HukumDan,Handoyo_NP_06
motizenchannel,Handoyo_NP_06
HukumDan,ali_nurlah
HukumDan,Sugengharisant1
HukumDan,tinelo_lipu
HukumDan,165NLM
HukumDan,dtoni77
motizenchannel,marSyaheedAS
HukumDan,marSyaheedAS
HukumDan,aksialfatih
HukumDan,black13side
HukumDan,abanglurus
motizenchannel,abanglurus
HukumDan,roon3651
HukumDan,heri_ranintaqi
HukumDan,Dedyfayyed
HukumDan,asikajakh
HukumDan,notminded
HukumDan,HeriawanAdiwan2
HukumDan,JabreakYudha
HukumDan,zainuddinmassa
HukumDan,mindfun
HukumDan,aculke
HukumDan,AlangBabega76
HukumDan,Ekadjaya4
HukumDan,hennysuhaeni21
HukumDan,babe_Ahmad
HukumDan,ryan_eza
HukumDan,ferryirawanac
Bankdata4,dqserv
Bankdata4,dqserv
BRPBAP3_Maros,Hafistpl
BRPBAP3_Maros,Hafistpl
BRPBAP3_Maros,Hafistpl
HukumDan,fmghifari
HukumDan,sueb_soleh
HukumDan,mikahakim3
HukumDan,munasir88
HukumDan,kakakirham
HukumDan,wbatara711
HukumDan,zaydlimited
motizenchannel,zaydlimited
vic_haref,painxkillers
vic_haref,SayidRidho
HukumDan,mahsussyarief1
HukumDan,Sukarn89
vic_haref,andioryuty1
HukumDan,Rasul883
HukumDan,Dwi44576948
HukumDan,UtomoSetyok4ila
vic_haref,ariopmbd
HukumDan,assayyidsyech
HukumDan,KadrunMbah
motizenchannel,KadrunMbah
HukumDan,andilasukay
HukumDan,milamelissa09
vic_haref,Gearexy
HukumDan,Maulana11423281
motizenchannel,Maulana11423281
vic_haref,wilzonez
HukumDan,banten_aduy
vic_haref,budimandjatmiko
HukumDan,PandoePertiwi
HukumDan,sendyalfa24
HukumDan,abdulrtah
HukumDan,CALVAKU
HukumDan,HidayatPasie
HukumDan,RahmanSy2
HukumDan,Alunk951
HukumDan,MJtuhMasJoko
HukumDan,amoh_amad
HukumDan,Qolybri_8216
HukumDan,jaya1perkasa
HukumDan,non_Dindun
HukumDan,Adudu7231
motizenchannel,Adudu7231
HukumDan,Fush62707179
motizenchannel,Fush62707179
HukumDan,rinkakuna
HukumDan,Apewe14
HukumDan,Mohammad_Safri
HukumDan,kher_ariefs
HukumDan,PecintaSrundeng
HukumDan,MusafirRantau
HukumDan,FatihAlAzzam2
HukumDan,rputra28
HukumDan,Lord_Sakto
HukumDan,jhon_hancock77
HukumDan,rojali_ab
HukumDan,Zaki41520826
HukumDan,LasnoUlung1
HukumDan,mdkoir
HukumDan,A1sySum4r
HukumDan,bmbgst
HukumDan,cia_abdul
HukumDan,Aloposisi643
HukumDan,pedromalih
HukumDan,RosaRosaniasari
HukumDan,AsHafidh
HukumDan,meawmiaumaumao
motizenchannel,Yani73044989
motizenchannel,ekache99
ismailfahmi,Egamalia25
motizenchannel,AkangOnay
motizenchannel,andri_wae1
mimimimos,mimimimos
harrissitorus,JumadilKacili
motizenchannel,JumadilKacili
motizenchannel,g4m4r333
motizenchannel,HasbyYusuf9
Strategi_Bisnis,bangapppp
budimandjatmiko,Hans_sesat
INDONESIAPRES,INDONESIAPRES
INDONESlAINLOVE,INDONESIAPRES
INDONESlAINLOVE,peyboy9
motizenchannel,akangzaldysin
motizenchannel,AnugrahFitrah1
motizenchannel,UYusphi
motizenchannel,raymanfish
motizenchannel,KaraengSATMATA
motizenchannel,GajahNata
motizenchannel,motizenchannel
motizenchannel,bhaja27
motizenchannel,JhonitaRubiyan3
motizenchannel,ardiantirtaa
motizenchannel,AditiyaP25269
motizenchannel,Adins46220353
BPPT_RI,nabilaWk
motizenchannel,ker_asa
motizenchannel,DanteSp94759265
motizenchannel,rsa_detu
motizenchannel,maxaghie
BPPT_RI,dashqaz
motizenchannel,AmoerJhie
BPPT_RI,Chelsea4z7e
BPPT_RI,Chelsea5q5g
BPPT_RI,Chelsea6tk5
BPPT_RI,ElsaaCangtip
BPPT_RI,maleficent112
BPPT_RI,chearriefthea
motizenchannel,umam_chaerul
BPPT_RI,dzhea73
motizenchannel,RMuhammadAli1
BPPT_RI,VentraVe
motizenchannel,NinoiHidayat
BPPT_RI,zihanaww
motizenchannel,prasetyoNL
BPPT_RI,mellyaaa05
BPPT_RI,xololoo__
BPPT_RI,anugerah_wdy
BPPT_RI,melfa27_
BSSN_RI,bekti781
motizenchannel,bsmuslimin
BPPT_RI,basobasoan
BPPT_RI,aqkerenabiez
motizenchannel,ardinsyafrudin
BPPT_RI,eneng_s
BPPT_RI,kudalawuts
motizenchannel,Wihar18
BPPT_RI,enengcangtips
BPPT_RI,ImasNeneng
BPPT_RI,GinaCangtip
BPPT_RI,alinasb1
motizenchannel,hans_prihantoko
motizenchannel,fachrusayapemas
motizenchannel,rsafari77
motizenchannel,ThejavaRio
motizenchannel,3lla_ummuahmad
motizenchannel,Ayaniulva
motizenchannel,Deden90809384
BPPT_RI,indramata33
motizenchannel,aracellians
motizenchannel,sofianrohman
BPPT_RI,Gilangvang28
motizenchannel,Emilio_Alkariem
motizenchannel,darinolsekarang
motizenchannel,RickyNSas
motizenchannel,suka_tx
motizenchannel,HyeYanti
motizenchannel,GoentoerK
BPPT_RI,JoniIsk25716700
motizenchannel,RuslanGasang
motizenchannel,nugrohosudarso1
motizenchannel,IbrahimGarcia19
motizenchannel,kalitra_arman
motizenchannel,PradityaBeni
motizenchannel,baikansaja
motizenchannel,ZZheevau
motizenchannel,afurinto
motizenchannel,Iipoenk
motizenchannel,DontcryindoKid
motizenchannel,_go_ne_
motizenchannel,padiwig
motizenchannel,semvakmerah
